localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp
6648010002,GUERNICA,6,BUENOS AIRES,648,PRESIDENTE PERÓN,10,2,1862
2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1,1122
14147010000,ALTA GRACIA,14,CÓRDOBA,147,SANTA MARÍA,10,0,5186
2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,C1425BHO
2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,1042
2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1,1196
86126030000,VILLA OJO DE AGUA,86,SANTIAGO DEL ESTERO,126,OJO DE AGUA,30,0,4351
26021030018,COMODORO RIVADAVIA,26,CHUBUT,21,ESCALANTE,30,18,9000
6441030009,CITY BELL,6,BUENOS AIRES,441,LA PLATA,30,9,1896
14021200000,MENDIOLAZA,14,CÓRDOBA,21,COLÓN,200,0,5107
2001010002,MONSERRAT,2,CABA,1,COMUNA 1,10,2,C1085ABB
6427010013,VILLA EDUARDO MADERO,6,BUENOS AIRES,427,LA MATANZA,10,13,1768
14098100000,CORONEL MOLDES,14,CÓRDOBA,98,RÍO CUARTO,100,0,5847
2011010004,VILLA SANTA RITA,2,CABA,11,COMUNA 11,10,4,1416
38035040000,CALILEGUA,38,JUJUY,35,LEDESMA,40,0,4514
66112040000,SAN JOSE DE METAN,66,SALTA,112,METÁN,40,0,4440
10105180000,TINOGASTA,10,CATAMARCA,105,TINOGASTA,180,0,5340
6427010015,VIRREY DEL PINO,6,BUENOS AIRES,427,LA MATANZA,10,15,1763
14056050000,CHARRAS,14,CÓRDOBA,56,JUÁREZ CELMAN,50,0,5807
6274010007,VILLA SAN LUIS,6,BUENOS AIRES,274,FLORENCIO VARELA,10,7,1802
2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,1038
46014010000,LA RIOJA,46,LA RIOJA,14,CAPITAL,10,0,5300
2004010004,PARQUE PATRICIOS,2,CABA,4,COMUNA 4,10,4,C1280AEB
14063120000,GENERAL ROCA,14,CÓRDOBA,63,MARCOS JUÁREZ,120,0,2592
6408010001,HURLINGHAM,6,BUENOS AIRES,408,HURLINGHAM,10,1,1686
14056030000,BENGOLEA,14,CÓRDOBA,56,JUÁREZ CELMAN,30,0,5807
6840010002,CHURRUCA,6,BUENOS AIRES,840,TRES DE FEBRERO,10,2,1657
6357110003,MAR DEL PLATA,6,BUENOS AIRES,357,GENERAL PUEYRREDÓN,110,3,7600
2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1,1199
2003010001,BALVANERA,2,CABA,3,COMUNA 3,10,1,C1039AAL
66007090000,JOAQUIN V. GONZALEZ,66,SALTA,7,ANTA,90,0,4448
14126200000,VILLA CURA BROCHERO,14,CÓRDOBA,126,SAN ALBERTO,200,0,5891
2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1,1115
2003010001,BALVANERA,2,CABA,3,COMUNA 3,10,1,1096
2015010005,VILLA CRESPO,2,CABA,15,COMUNA 15,10,5,1414
2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,1053
10056010000,EL ALTO,10,CATAMARCA,56,EL ALTO,10,0,4235
2010010004,VERSALLES,2,CABA,10,COMUNA 10,10,4,1407
2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1,C1115AAD
6791040000,MARIA IGNACIA,6,BUENOS AIRES,791,TANDIL,40,0,7003
66056090000,EMBARCACION,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,90,0,4550
14021280000,UNQUILLO,14,CÓRDOBA,21,COLÓN,280,0,5109
14049050000,DEAN FUNES,14,CÓRDOBA,49,ISCHILÍN,50,0,5200
30028070000,FEDERACION,30,ENTRE RÍOS,28,FEDERACIÓN,70,0,3206
30070070000,SAN GUSTAVO,30,ENTRE RÍOS,70,LA PAZ,70,0,3190
6091010004,EL PATO,6,BUENOS AIRES,91,BERAZATEGUI,10,4,1893
14168060000,LAS PEÑAS,14,CÓRDOBA,168,TOTORAL,60,0,5238
6875060002,MEDANOS,6,BUENOS AIRES,875,VILLARINO,60,2,8132
14063100000,CRUZ ALTA,14,CÓRDOBA,63,MARCOS JUÁREZ,100,0,2189
86154030000,SELVA,86,SANTIAGO DEL ESTERO,154,RIVADAVIA,30,0,2354
6805010001,BENAVIDEZ,6,BUENOS AIRES,805,TIGRE,10,1,1621
30056100000,PUEBLO GENERAL BELGRANO,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,100,0,2821
6791030000,GARDEY,6,BUENOS AIRES,791,TANDIL,30,0,7003
6182030000,PUNTA ALTA,6,BUENOS AIRES,182,CORONEL DE MARINA L. ROSALES,30,0,8109
2015010006,VILLA ORTUZAR,2,CABA,15,COMUNA 15,10,6,1427
2011010002,VILLA DEVOTO,2,CABA,11,COMUNA 11,10,2,1419
46028050002,VILLA UNION,46,LA RIOJA,28,CORONEL FELIPE VARELA,50,2,5369
2004010001,BARRACAS,2,CABA,4,COMUNA 4,10,1,C1295ACE
6581040001,NECOCHEA,6,BUENOS AIRES,581,NECOCHEA,40,1,7630
14056070000,GENERAL CABRERA,14,CÓRDOBA,56,JUÁREZ CELMAN,70,0,5809
6056010003,INGENIERO WHITE,6,BUENOS AIRES,56,BAHÍA BLANCA,10,3,8103
14063180000,MARCOS JUAREZ,14,CÓRDOBA,63,MARCOS JUÁREZ,180,0,2580
14091270000,VILLA GIARDINO,14,CÓRDOBA,91,PUNILLA,270,0,5176
14098240000,SAMPACHO,14,CÓRDOBA,98,RÍO CUARTO,240,0,5829
38014070000,MONTERRICO,38,JUJUY,14,EL CARMEN,70,0,4608
6091010003,CARLOS TOMAS SOURIGUES,6,BUENOS AIRES,91,BERAZATEGUI,10,3,1886
2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,1188
2006010001,CABALLITO,2,CABA,6,COMUNA 6,10,1,1416
6399050000,LAGUNA ALSINA,6,BUENOS AIRES,399,GUAMINÍ,50,0,6439
6091010001,BERAZATEGUI,6,BUENOS AIRES,91,BERAZATEGUI,10,1,1884
6658010004,EZPELETA,6,BUENOS AIRES,658,QUILMES,10,4,1878
6658010009,VILLA LA FLORIDA,6,BUENOS AIRES,658,QUILMES,10,9,1878
30056070000,GUALEGUAYCHU,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,70,0,2820
86077010000,AÑATUYA,86,SANTIAGO DEL ESTERO,77,GENERAL TABOADA,10,0,3760
6518010000,CORONEL VIDAL,6,BUENOS AIRES,518,MAR CHIQUITA,10,0,7174
2013010001,BELGRANO,2,CABA,13,COMUNA 13,10,1,1430
2008010001,VILLA LUGANO,2,CABA,8,COMUNA 8,10,1,1439
38028040000,HUMAHUACA,38,JUJUY,28,HUMAHUACA,40,0,4630
18021020000,CORRIENTES,18,CORRIENTES,21,CAPITAL,20,0,3460
2013010001,BELGRANO,2,CABA,13,COMUNA 13,10,1,C1426CPD
66035020000,LA MERCED,66,SALTA,35,CERRILLOS,20,0,4421
90077020000,LOS SARMIENTOS,90,TUCUMÁN,77,RÍO CHICO,20,0,4152
2001010002,MONSERRAT,2,CABA,1,COMUNA 1,10,2,C1084AAB
30105060000,VICTORIA,30,ENTRE RÍOS,105,VICTORIA,60,0,3153
14161010000,ALMAFUERTE,14,CÓRDOBA,161,TERCERO ARRIBA,10,0,5854
2007010002,PARQUE CHACABUCO,2,CABA,7,COMUNA 7,10,2,1424
2013010002,COLEGIALES,2,CABA,13,COMUNA 13,10,2,1426
2001010002,MONSERRAT,2,CABA,1,COMUNA 1,10,2,1092
2013010002,COLEGIALES,2,CABA,13,COMUNA 13,10,2,1428
2011010003,VILLA GENERAL MITRE,2,CABA,11,COMUNA 11,10,3,1416
2013010001,BELGRANO,2,CABA,13,COMUNA 13,10,1,1428
2015010002,CHACARITA,2,CABA,15,COMUNA 15,10,2,1427
2001010003,PUERTO MADERO,2,CABA,1,COMUNA 1,10,3,1107
30049030000,GENERAL GALARZA,30,ENTRE RÍOS,49,GUALEGUAY,30,0,2843
2015010002,CHACARITA,2,CABA,15,COMUNA 15,10,2,C1427EDO
14007310000,VILLA GENERAL BELGRANO,14,CÓRDOBA,7,CALAMUCHITA,310,0,5194
14056080000,GENERAL DEHEZA,14,CÓRDOBA,56,JUÁREZ CELMAN,80,0,5923
86063040000,FRIAS,86,SANTIAGO DEL ESTERO,63,CHOYA,40,0,4230
30056060000,GILBERT,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,60,0,2828
14147080000,DESPEÑADEROS,14,CÓRDOBA,147,SANTA MARÍA,80,0,5121
66112010000,EL GALPON,66,SALTA,112,METÁN,10,0,4444
30070010000,BOVRIL,30,ENTRE RÍOS,70,LA PAZ,10,0,3142
6035010009,WILDE,6,BUENOS AIRES,35,AVELLANEDA,10,9,1875
6707060000,SALADILLO,6,BUENOS AIRES,707,SALADILLO,60,0,7260
6371010001,BARRIO PARQUE GENERAL SAN MARTIN,6,BUENOS AIRES,371,GENERAL SAN MARTÍN,10,1,1778
14091040000,CAPILLA DEL MONTE,14,CÓRDOBA,91,PUNILLA,40,0,5184
46042090000,NONOGASTA,46,LA RIOJA,42,CHILECITO,90,0,5372
14161060000,HERNANDO,14,CÓRDOBA,161,TERCERO ARRIBA,60,0,5929
6515010005,LOS POLVORINES,6,BUENOS AIRES,515,MALVINAS ARGENTINAS,10,5,1613
6490010004,TEMPERLEY,6,BUENOS AIRES,490,LOMAS DE ZAMORA,10,4,1834
6252010003,GARIN,6,BUENOS AIRES,252,ESCOBAR,10,3,1619
6441030027,VILLA PARQUE SICARDI,6,BUENOS AIRES,441,LA PLATA,30,27,1900
14007130000,LOS REARTES,14,CÓRDOBA,7,CALAMUCHITA,130,0,5194
78042010000,PUERTO SAN JULIAN,78,SANTA CRUZ,42,MAGALLANES,10,0,9310
6539010004,PONTEVEDRA,6,BUENOS AIRES,539,MERLO,10,4,1761
6434010002,LANUS ESTE,6,BUENOS AIRES,434,LANÚS,10,2,1824
6658010006,QUILMES,6,BUENOS AIRES,658,QUILMES,10,6,1878
6028010012,SAN JOSE,6,BUENOS AIRES,28,ALMIRANTE BROWN,10,12,1846
30063060000,VILLA PARANACITO,30,ENTRE RÍOS,63,ISLAS DEL IBICUY,60,0,2823
