localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp,domicilio,longitud,latitud
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SAN LORENZO 1130,-60.63804599,-32.94409848
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,DE URQUIZA JUSTO JOSE 2373,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,9 DE JULIO 1768,-60.64931272,-32.95216008
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,9 DE JULIO 414,-60.63038733,-32.95558009
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,9 DE JULIO 504,-60.63164912,-32.9553667
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,9 DE JULIO 764,-60.63554236,-32.95469178
74035030000,JUSTO DARACT,74,SAN LUIS,35,GENERAL PEDERNERA,30,0,5738,CORDOBA  507,-65.17941847,-33.86827979
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1406,RIVADAVIA 7283,-58.4680096,-34.6302712
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,27 de Abril 474,-64.1906069,-31.4153011
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Ciudad del Barco 3693,-64.2084198,-31.3701723
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Sol de Mayo 1204,-64.2122692,-31.4237656
14119160000,PILAR,14,CÓRDOBA,119,RÍO SEGUNDO,160,0,5972,25 de Mayo 887,-64.1705597,-31.4161515
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Urquiza 241,-64.02832031,-31.16580959
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,9 DE JULIO 2499,-60.65923875,-32.95038317
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ARIJON AV 302,-60.6360759,-33.00262066
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ARIJON AV 1645,-60.65695565,-33.00325454
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,NTRA SRA DEL ROSARIO AV 3189,-60.6790995,-33.00098161
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,FRANCIA AV 2581,-60.67091692,-32.96240524
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,URIBURU JOSE EVARISTO PRES AV 1756,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BUENOS AIRES 3569,-60.64080504,-32.97964304
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,AVELLANEDA BV 2655,-60.68474998,-32.96092216
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,OROO NICASIO BV 6000,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,OROO NICASIO BV 3436,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,OROO NICASIO BV 2875,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,RONDEAU BV 1029,-60.68947261,-32.9047576
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,CAFFERATA 1242,-60.6724107,-32.94620398
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,Córdoba 2394,-60.655991,-32.9431329
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,CORRIENTES AV 501,-60.64149956,-32.94220125
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,CORRIENTES AV 785,-60.64231123,-32.94548113
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,JUNIN 650,-60.67282576,-32.92655934
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ENTRE RIOS 1121,-60.64196475,-32.94995048
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,DUARTE DE PERON EVA AV 5401,-60.69754779,-32.93588653
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,IGR LAPORTE 3732,-60.69354899,-32.88044258
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,JUSTO JUAN BAUTISTA 7235,,
94007010000,RIO GRANDE,94,TIERRA DEL FUEGO,7,RÍO GRANDE,10,0,9420,Punta Popper 458,-67.755273,-53.7949278
70056080000,SAN JOSE DE JACHAL,70,SAN JUAN,56,JÁCHAL,80,0,5460,25 de Mayo N°651 -Este-DEPARTAMENTO JACHAL,-68.74576807,-30.23693489
54028030000,POSADAS,54,MISIONES,28,CAPITAL,30,0,3300,AV. CHACABUCO 2690,,
34049010000,CLORINDA,34,FORMOSA,49,PILCOMAYO,10,0,3610,Avenida Belgrano 810,-57.7259881,-25.2824298
14007180000,SAN AGUSTIN,14,CÓRDOBA,7,CALAMUCHITA,180,0,5191,Cabrera 490,-64.3506637,-33.1207927
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,AV. MALVINAS ARGENTINAS 2499 - CORDOBA - CORDOBA,-64.13726287,-31.38957548
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,PASO JUAN JOSE 6674,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SE SAN MARTIN JOSE GRL AV 658,-60.63638806,-32.94527209
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SAN NICOLAS 3798,-60.6811602,-32.97524145
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SANTA FE 3304,-60.6679487,-32.9396481
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SARMIENTO DOMINGO FAUSTINO PRES 4301,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ZEBALLOS ESTANISLAO 1901,-60.65140615,-32.95300516
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,24 DE SETIEMBRE 1362,-60.6503551,-32.97955255
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,27 DE FEBRERO 1499,-60.64909676,-32.96668417
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,GRANDOLI ABANDERADO 4043,-60.62840809,-32.98765471
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ALBERDI 243,-60.67402491,-32.92988843
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,FRANCIA AV 2788,-60.67153618,-32.96483755
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,GENOVA 1199,-60.68036203,-32.91504655
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,AYACUCHO 6147,-60.63582598,-33.00793987
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,AYALA GAUNA 7887,-60.73266374,-32.91247397
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BAIGORRIA JUAN BAUTISTA 2350,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BROWN GUILLERMO 1774,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,AVELLANEDA BIS BV 967,-60.6734659,-32.91631494
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,OROO NICASIO BV 3714,,
