establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
TERMINAL,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,CAFFERATA 702,,-60.67065254,-32.93920597
TONEGUZZO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,3 DE FEBRERO 2366,,-60.65718387,-32.94965454
TURIN,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SE SAN MARTIN JOSE GRL AV 5386,,,
TARICCO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,AVELLANEDA BV 1945,,-60.68271744,-32.95274649
TANTERA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,RONDEAU BV 2052,,-60.69281396,-32.8938134
TARTARELLI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,RONDEAU BV 1350,,-60.69074205,-32.90059682
TERRAZINO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,CALLAO 935,,-60.660409,-32.944247
TORCHIO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,CASTRO BARROS AV 4828,,-60.62981042,-32.99355244
TUMINI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ITALIA 1898,,-60.65118173,-32.95782805
TORTI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PROVINCIAS UNIDAS BIS AV 538,,-60.71343824,-32.92264695
TREPAT,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PROVINCIAS UNIDAS AV 1414,,-60.71402523,-32.91174544
TARALLO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SAN JUAN 3716,,-60.67484891,-32.94373804
TOSCA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SANTA FE 4340,,-60.6820723,-32.93713861
